first_name,last_name,date_of_birth,current_club_id,nationality,squad_number
Bruno,Fernandes,1994-09-08,17,POR,8
Marcus,Rashford,1997-10-31,17,ENG,10
Amad,Diallo,2002-07-11,17,CIV,16
Alejandro,Garnacho,2004-07-01,17,ARG,17
Mason,Mount,1999-01-10,17,ENG,7
Joshua,Zirkzee,2001-05-22,17,NED,11
Kobbie,Mainoo,2005-04-19,17,ENG,37
Scott,McTominay,1996-12-08,17,SCO,39
Casemiro,,1992-02-23,17,BRA,18
Diogo,Dalot,1999-03-18,17,POR,20
Lisandro,Martínez,1998-01-18,17,ARG,6
Harry,Maguire,1993-03-05,17,ENG,5
Jonny,Evans,1988-01-03,17,NIR,35
Noussair,Mazraoui,1997-11-14,17,MAR,3
Matthijs,de Ligt,1999-08-12,17,NED,4
André,Onana,1996-04-02,17,CMR,24
Rodrigo,Muniz,2001-05-04,12,BRA,9
Raúl,Jiménez,1991-05-05,12,MEX,7
Alex,Iwobi,1996-05-03,12,NGA,17
Adama,Traoré,1996-01-25,12,ESP,11
Harry,Wilson,1997-03-22,12,WAL,8
Emile,Smith-Rowe,2000-07-28,12,ENG,32
Tom,Cairney,1991-01-20,12,SCO,10
Saša,Lukic,1996-08-13,12,SRB,20
Jay,Stansfield,2002-11-24,12,ENG,28
Andreas,Pereira,1996-01-01,12,BRA,18
Harrison,Reed,1995-01-27,12,ENG,6
Antonee,Robinson,1997-08-08,12,USA,33
Calvin,Bassey,1999-12-31,12,NGA,3
Issa,Diop,1997-01-09,12,FRA,31
Kenny,Tete,1995-10-09,12,NED,2
Bernd,Leno,1992-03-04,12,GER,1
Liam,Delap,2003-02-08,13,ENG,19
Ali,Al Hamadi,2002-03-01,13,IRQ,16
Omari,Hutchinson,2003-10-30,13,ENG,20
Wes,Burns,1994-11-23,13,WAL,7
Ben,Johnson,2000-01-24,13,ENG,18
Conor,Chaplin,1997-02-16,13,ENG,10
Marcus,Harness,1996-02-24,13,ENG,11
Massimo,Luongo,1992-09-25,13,AUS,25
Jack,Taylor,1998-06-23,13,IRL,14
Sam,Morsy,1991-09-10,13,EGY,5
Leif,Davis,1999-12-31,13,ENG,3
Jacob,Greaves,2000-09-12,13,ENG,24
Luke,Woolfenden,1998-10-21,13,ENG,6
Axel,Tuanzebe,1997-11-14,13,COD,40
Sammie,Szmodics,1995-09-24,13,IRL,23
Christian,Walton,1995-11-09,13,ENG,28
Diogo,Jota,1996-12-04,15,POR,20
Cody,Gakpo,1999-05-07,15,NED,18
Luis,Díaz,1997-01-13,15,COL,7
Mohamed,Salah,1992-06-15,15,EGY,11
Dominik,Szoboszlai,2000-10-25,15,HUN,8
Alexis,MacAllister,1996-12-24,15,ARG,10
Ryan,Gravenberch,2002-05-16,15,NED,38
Andrew,Robertson,1994-03-11,15,SCO,26
Kostas,Tsimikas,1996-05-12,15,GRE,21
Virgil,van Dijk,1991-07-08,15,NED,4
Jarell,Quansah,2003-01-29,15,ENG,78
Ibrahima,Konaté,1999-05-25,15,FRA,5
Trent,Alexander-Arnold,1998-10-07,15,ENG,66
Conor,Bradley,2003-07-09,15,NIR,84
Alisson,,1992-10-02,15,BRA,1
Alexander,Isak,1999-09-21,18,SWE,14
Anthony,Gordon,2001-02-24,18,ENG,10
Harvey,Barnes,1997-12-09,18,ENG,11
Jacob,Murphy,1995-02-24,18,ENG,23
Emil,Krafth,1994-08-02,18,SWE,17
Joelinton,,1996-08-14,18,BRA,7
Bruno,Guimarães,1997-11-16,18,BRA,39
Sean,Longstaff,1997-10-30,18,ENG,36
Lewis,Hall,2004-09-08,18,ENG,20
Lloyd,Kelly,1996-10-06,18,ENG,25
Dan,Burn,1992-05-09,18,ENG,33
Fabian,Schär,1991-12-20,18,SUI,5
Valentino,Livramento,2002-11-12,18,ENG,21
Nick,Pope,1992-04-19,18,ENG,22
Ben,Brereton,1999-04-18,20,CHI,17
Cameron,Archer,2001-12-09,20,ENG,19
Adam,Armstrong,1997-02-10,20,ENG,9
Joe,Aribo,1996-07-21,20,NGA,7
Tyler,Dibling,2006-02-17,20,ENG,33
Flynn,Downes,1999-01-20,20,ENG,4
William,Smallbone,2000-02-21,20,IRL,8
Kyle,Walker-Peters,1997-04-13,20,ENG,2
Carlos,Alcaraz,2002-11-30,20,ARG,22
Yukinari,Sugawara,2000-06-28,20,JPN,16
Samuel,Edozie,2003-01-28,20,ENG,23
Jack,Stephens,1994-01-27,20,ENG,5
Jan,Bednarek,1996-04-12,20,POL,35
Samuel,Amo-Ameyaw,2006-07-18,20,ENG,27
Taylor,Harwood-Bellis,2002-01-30,20,ENG,6
Alex,McCarthy,1989-12-03,20,ENG,1
Chris,Wood,1991-12-07,19,NZL,11
Taiwo,Awoniyi,1997-08-12,19,NGA,9
Callum,Hudson-Odoi,2000-11-07,19,ENG,14
Elliot,Anderson,2002-11-06,19,ENG,8
