club_name,city,country,stadium_id,year_founded,manager_id
Arsenal,London,England,,1886,
Aston Villa,Birmingham,England,,1874,
Bournemouth,Bournemouth,England,,1899,
Brentford,London,England,,1889,
Brighton & Hove Albion,Brighton,England,,1901,
Chelsea,London,England,,1905,
Crystal Palace,London,England,,1905,
Everton,Liverpool,England,,1878,
Fulham,London,England,,1879,
Ipswich Town,Ipswich,England,,1878,
Leicester City,Leicester,England,,1884,
Liverpool,Liverpool,England,,1892,
Manchester City,Manchester,England,,1880,
Manchester United,Manchester,England,,1878,
Newcastle United,Newcastle,England,,1892,
Nottingham Forest,Nottingham,England,,1865,
Southampton,Southampton,England,,1885,
Tottenham Hotspur,London,England,,1882,
West Ham United,London,England,,1895,
Wolverhampton Wanderers,Wolverhampton,England,,1877,
