first_name,last_name,date_of_birth,current_club_id,nationality,squad_number
Bruno,Fernandes,08/09/1994,,POR,8
Marcus,Rashford,31/10/1997,,ENG,10
Amad,Diallo,11/07/2002,,CIV,16
Alejandro,Garnacho,01/07/2004,,ARG,17
Mason,Mount,10/01/1999,,ENG,7
Joshua,Zirkzee,22/05/2001,,NED,11
Kobbie,Mainoo,19/04/2005,,ENG,37
Scott,McTominay,08/12/1996,,SCO,39
Casemiro,,23/02/1992,,BRA,18
Diogo,Dalot,18/03/1999,,POR,20
Lisandro,Martínez,18/01/1998,,ARG,6
Harry,Maguire,05/03/1993,,ENG,5
Jonny,Evans,03/01/1988,,NIR,35
Noussair,Mazraoui,14/11/1997,,MAR,3
Matthijs,de Ligt,12/08/1999,,NED,4
André,Onana,02/04/1996,,CMR,24
Rodrigo,Muniz,04/05/2001,,BRA,9
Raúl,Jiménez,05/05/1991,,MEX,7
Alex,Iwobi,03/05/1996,,NGA,17
Adama,Traoré,25/01/1996,,ESP,11
Harry,Wilson,22/03/1997,,WAL,8
Emile,Smith-Rowe,28/07/2000,,ENG,32
Tom,Cairney,20/01/1991,,SCO,10
Saša,Lukic,13/08/1996,,SRB,20
Jay,Stansfield,24/11/2002,,ENG,28
Andreas,Pereira,01/01/1996,,BRA,18
Harrison,Reed,27/01/1995,,ENG,6
Antonee,Robinson,08/08/1997,,USA,33
Calvin,Bassey,31/12/1999,,NGA,3
Issa,Diop,09/01/1997,,FRA,31
Kenny,Tete,09/10/1995,,NED,2
Bernd,Leno,04/03/1992,,GER,1
Liam,Delap,08/02/2003,,ENG,19
Ali,Al Hamadi,01/03/2002,,IRQ,16
Omari,Hutchinson,30/10/2003,,ENG,20
Wes,Burns,23/11/1994,,WAL,7
Ben,Johnson,24/01/2000,,ENG,18
Conor,Chaplin,16/02/1997,,ENG,10
Marcus,Harness,24/02/1996,,ENG,11
Massimo,Luongo,25/09/1992,,AUS,25
Jack,Taylor,23/06/1998,,IRL,14
Sam,Morsy,10/09/1991,,EGY,5
Leif,Davis,31/12/1999,,ENG,3
Jacob,Greaves,12/09/2000,,ENG,24
Luke,Woolfenden,21/10/1998,,ENG,6
Axel,Tuanzebe,14/11/1997,,COD,40
Sammie,Szmodics,24/09/1995,,IRL,23
Christian,Walton,09/11/1995,,ENG,28
Diogo,Jota,04/12/1996,,POR,20
Cody,Gakpo,07/05/1999,,NED,18
Luis,Díaz,13/01/1997,,COL,7
Mohamed,Salah,15/06/1992,,EGY,11
Dominik,Szoboszlai,25/10/2000,,HUN,8
Alexis,MacAllister,24/12/1996,,ARG,10
Ryan,Gravenberch,16/05/2002,,NED,38
Andrew,Robertson,11/03/1994,,SCO,26
Kostas,Tsimikas,12/05/1996,,GRE,21
Virgil,van Dijk,08/07/1991,,NED,4
Jarell,Quansah,29/01/2003,,ENG,78
Ibrahima,Konaté,25/05/1999,,FRA,5
Trent,Alexander-Arnold,07/10/1998,,ENG,66
Conor,Bradley,09/07/2003,,NIR,84
Alisson,,02/10/1992,,BRA,1
Alexander,Isak,21/09/1999,,SWE,14
Anthony,Gordon,24/02/2001,,ENG,10
Harvey,Barnes,09/12/1997,,ENG,11
Jacob,Murphy,24/02/1995,,ENG,23
Emil,Krafth,02/08/1994,,SWE,17
Joelinton,,14/08/1996,,BRA,7
Bruno,Guimarães,16/11/1997,,BRA,39
Sean,Longstaff,30/10/1997,,ENG,36
Lewis,Hall,08/09/2004,,ENG,20
Lloyd,Kelly,06/10/1996,,ENG,25
Dan,Burn,09/05/1992,,ENG,33
Fabian,Schär,20/12/1991,,SUI,5
Valentino,Livramento,12/11/2002,,ENG,21
Nick,Pope,19/04/1992,,ENG,22
Ben,Brereton,18/04/1999,,CHI,17
Cameron,Archer,09/12/2001,,ENG,19
Adam,Armstrong,10/02/1997,,ENG,9
Joe,Aribo,21/07/1996,,NGA,7
Tyler,Dibling,17/02/2006,,ENG,33
Flynn,Downes,20/01/1999,,ENG,4
William,Smallbone,21/02/2000,,IRL,8
Kyle,Walker-Peters,13/04/1997,,ENG,2
Carlos,Alcaraz,30/11/2002,,ARG,22
Yukinari,Sugawara,28/06/2000,,JPN,16
Samuel,Edozie,28/01/2003,,ENG,23
Jack,Stephens,27/01/1994,,ENG,5
Jan,Bednarek,12/04/1996,,POL,35
Samuel,Amo-Ameyaw,18/07/2006,,ENG,27
Taylor,Harwood-Bellis,30/01/2002,,ENG,6
Alex,McCarthy,03/12/1989,,ENG,1
Chris,Wood,07/12/1991,,NZL,11
Taiwo,Awoniyi,12/08/1997,,NGA,9
Callum,Hudson-Odoi,07/11/2000,,ENG,14
Elliot,Anderson,06/11/2002,,ENG,8
Anthony,Elanga,27/04/2002,,SWE,21
Nicolás,Domínguez,28/06/1998,,ARG,16
Morgan,Gibbs-White,27/01/2000,,ENG,10
Danilo,,29/04/2001,,BRA,28
Ryan,Yates,21/11/1997,,ENG,22
Ibrahim,Sangaré,02/12/1997,,CIV,6
Ola,Aina,08/10/1996,,NGA,34
Harry,Toffolo,19/08/1995,,ENG,15
Murillo,,04/07/2002,,BRA,5
Willy,Boly,03/02/1991,,CIV,30
Neco,Williams,13/04/2001,,WAL,7
Matz,Sels,26/02/1992,,BEL,26
Antoine,Semenyo,07/01/2000,,GHA,24
Luis,Sinisterra,17/06/1999,,COL,17
Justin,Kluivert,05/05/1999,,NED,19
Dango,Ouattara,11/02/2002,,BFA,11
Daniel,Jebbison,11/07/2003,,ENG,21
Marcus,Tavernier,22/03/1999,,ENG,16
Lewis,Cook,03/02/1997,,ENG,4
Philip,Billing,11/06/1996,,DEN,29
Alex,Scott,21/08/2003,,ENG,14
Ryan,Christie,22/02/1995,,SCO,10
Milos,Kerkez,07/11/2003,,HUN,3
Dean,Huijsen,14/04/2005,,ESP,2
Illia,Zabarnyi,01/09/2002,,UKR,27
Adam,Smith,29/04/1991,,ENG,15
Julian,Araujo,13/08/2001,,MEX,28
Neto,,19/07/1989,,BRA,1
Dominic,Calvert-Lewin,16/03/1997,,ENG,9
Beto,,31/01/1998,,GNB,14
Dwight,McNeil,22/11/1999,,ENG,7
Jack,Harrison,20/11/1996,,ENG,11
Mason,Holgate,22/10/1996,,ENG,4
Abdoulaye,Doucouré,01/01/1993,,MLI,16
Iliman,Ndiaye,06/03/2000,,SEN,10
Idrissa,Gana Gueye,26/09/1989,,SEN,27
Tim,Iroegbunam,30/06/2003,,ENG,42
Vitaliy,Mykolenko,29/05/1999,,UKR,19
Michael,Keane,11/01/1993,,ENG,5
James,Tarkowski,19/11/1992,,ENG,6
Ashley,Young,09/07/1985,,ENG,18
Jordan,Pickford,07/03/1994,,ENG,1
Danny,Welbeck,26/11/1990,,ENG,18
Kaoru,Mitoma,20/05/1997,,JPN,22
Yasin,Ayari,06/10/2003,,SWE,26
Yankuba,Minteh,22/07/2004,,GAM,17
Simon,Adingra,01/01/2002,,CIV,24
João,Pedro,26/09/2001,,BRA,9
Jeremy,Sarmiento,16/06/2002,,ECU,16
Mats,Wieffer,16/11/1999,,NED,27
James,Milner,04/01/1986,,ENG,6
Billy,Gilmour,11/06/2001,,SCO,11
Jack,Hinshelwood,11/04/2005,,ENG,41
Lewis,Dunk,21/11/1991,,ENG,5
Adam,Webster,04/01/1995,,ENG,4
